Iteration,Num_Delivery_Locations,Num_Clusters,Cluster_Sizes
1,10,4,"2,3,4,1"
2,10,4,"2,4,1,3"
3,10,5,"1,3,3,2,1"
4,10,4,"1,3,3,3"
5,10,4,"2,3,4,1"
6,10,4,"2,4,1,3"
7,10,5,"1,3,3,2,1"
8,10,4,"1,3,3,3"
9,10,4,"2,3,4,1"
10,10,4,"2,4,1,3"
11,10,5,"1,3,3,2,1"
12,10,4,"1,3,3,3"
13,10,4,"2,3,4,1"
14,10,4,"2,4,1,3"
15,10,5,"1,3,3,2,1"
16,10,4,"1,3,3,3"
17,10,4,"2,3,4,1"
18,10,4,"2,4,1,3"
19,10,5,"1,3,3,2,1"
20,10,4,"1,3,3,3"
21,10,4,"2,3,4,1"
22,10,4,"2,4,1,3"
23,10,5,"1,3,3,2,1"
24,10,4,"1,3,3,3"
25,10,4,"2,3,4,1"
26,10,4,"2,4,1,3"
27,10,5,"1,3,3,2,1"
28,10,4,"1,3,3,3"
29,10,4,"2,3,4,1"
30,10,4,"2,4,1,3"
31,10,5,"1,3,3,2,1"
32,10,4,"1,3,3,3"
33,10,4,"1,2,5,2"
34,10,4,"3,2,3,2"
35,10,5,"2,2,2,3,1"
36,10,4,"3,3,2,2"
37,10,4,"1,2,5,2"
38,10,4,"3,2,3,2"
39,10,5,"2,2,2,3,1"
40,10,4,"3,3,2,2"
41,10,4,"1,2,5,2"
42,10,4,"3,2,3,2"
43,10,5,"2,2,2,3,1"
44,10,4,"3,3,2,2"
45,10,4,"1,2,5,2"
46,10,4,"3,2,3,2"
47,10,5,"2,2,2,3,1"
48,10,4,"3,3,2,2"
49,10,4,"1,2,5,2"
50,10,4,"3,2,3,2"
51,10,5,"2,2,2,3,1"
52,10,4,"3,3,2,2"
53,10,4,"1,2,5,2"
54,10,4,"3,2,3,2"
55,10,5,"2,2,2,3,1"
56,10,4,"3,3,2,2"
57,10,4,"1,2,5,2"
58,10,4,"3,2,3,2"
59,10,5,"2,2,2,3,1"
60,10,4,"3,3,2,2"
61,10,4,"1,2,5,2"
62,10,4,"3,2,3,2"
63,10,5,"2,2,2,3,1"
64,10,4,"3,3,2,2"
65,10,4,"3,3,2,2"
66,10,3,"2,5,3"
67,10,4,"4,2,3,1"
68,10,4,"3,3,1,3"
69,10,4,"3,3,2,2"
70,10,3,"2,5,3"
71,10,4,"4,2,3,1"
72,10,4,"3,3,1,3"
73,10,4,"3,3,2,2"
74,10,3,"2,5,3"
75,10,4,"4,2,3,1"
76,10,4,"3,3,1,3"
77,10,4,"3,3,2,2"
78,10,3,"2,5,3"
79,10,4,"4,2,3,1"
80,10,4,"3,3,1,3"
81,10,4,"3,3,2,2"
82,10,3,"2,5,3"
83,10,4,"4,2,3,1"
84,10,4,"3,3,1,3"
85,10,4,"3,3,2,2"
86,10,3,"2,5,3"
87,10,4,"4,2,3,1"
88,10,4,"3,3,1,3"
89,10,4,"3,3,2,2"
90,10,3,"2,5,3"
91,10,4,"4,2,3,1"
92,10,4,"3,3,1,3"
93,10,4,"3,3,2,2"
94,10,3,"2,5,3"
95,10,4,"4,2,3,1"
96,10,4,"3,3,1,3"
97,10,5,"1,2,3,2,2"
98,10,2,"7,3"
99,10,3,"2,5,3"
100,10,5,"2,3,1,3,1"
