Num_Delivery_Locations,count,mean,std,min,25%,50%,75%,max
10,100.0,4.07,0.5551412596644373,2.0,4.0,4.0,4.0,5.0
20,100.0,5.66,0.7415517445863032,5.0,5.0,5.5,6.0,7.0
30,100.0,6.65,1.0286305498481019,5.0,6.0,7.0,7.0,8.0
40,100.0,7.34,1.102980351849323,6.0,6.0,7.0,8.0,9.0
50,100.0,7.48,1.5273929726593918,5.0,7.0,7.0,8.0,11.0
60,100.0,8.02,0.9098784467602187,7.0,7.0,8.0,9.0,10.0
70,100.0,7.85,1.0671873729054748,6.0,7.0,8.0,9.0,10.0
80,100.0,8.34,0.6391281940932104,7.0,8.0,8.0,9.0,9.0
90,100.0,8.17,1.2796385221908364,6.0,7.0,8.0,9.0,12.0
100,100.0,9.54,1.8335812504550222,7.0,8.0,9.0,11.0,13.0
